stockname,datetime,news,link
COHANCE,2026-05-13 12:11 IST,Cohance Lifesciences Q4 FY26: Profit Plunges 84% as Margin Pressures Mount - Markets Mojo,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNS3pmanMxZkVDNm9XWnZCUVlrYndjT0lCdFFra1JYX1ZHb1hmY2NUN1RnX2lWd1hWTGJKWFVVNUFBUzU2WHJJTFRVSnpZUUdtR1JKTlJLY1VvbEc2czRIS0ZqOTdEaWtkak5FTWZIYjVNQjc1REFHTTVTTTZucW9rS0Q5dURIME5RVlV5LUJSbkZOMkVsM0JxU3VTbjVkVDZzZGQ4alVLX25Pa1VoOXBHMGJUVXdYRkFRYjBmeGQ0N01KbC1wY3RaYQ?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-13 11:55 IST,Cohance Lifesciences Downgraded by ICICI Securities Despite Target Price Hike After Q4 Results — Here's Why - NDTV Profit,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOLU9PVElMVjFOUU9NTVY4aVJ2c0lXX05PZkt0S2N2MlBueVB4WFZGUmJidWFEQnI2VUJ2ZWZ1WkZsQUt2UXN1Skp3Ym1aSDZ4S2JOYlkxOGZSeUI5WGNFWm5kSm5xR0lxc3ZaSGU1ZDB5N2d0NXh4dmR2WEhranRBZzE2aDVsOFhtbjBnMHMtUzZLX01hbHB6T21RUmNTMExaR1ZWOWNOdzFGYjg4bEZ3UWdLdFRfUHR6SDRtNHNhUDU4RWVkX2JhOUpEZjFWQVJSX0prRUVPZ3dUOU1GdXlobXp3?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-13 11:10 IST,"Cohance Lifesciences expects revenue, EBITDA bottom in Q1 FY27; stock recovers from lows - MSN",https://news.google.com/rss/articles/CBMi9wFBVV95cUxNUG83aWgxYzEwS29TQmNkVG4zY2c4U1h3Z3dyOHJmSXVLWU1waUhiVUdnRF8tQ25ucEd1U05rMFhkRF9rY284MW8wTGkycDEycEFfajYzT0tyaFZhSm5xZE8xb2VteEhZOVRObVpjY2VlODJZTXlIemhJdHBjQks3QWVpVDkwLTJ1OTdCVXJRdlpMMXIzaFhGSDZib2dhRlNTNjZDMFE4TmZDXzN4WlRHZ3ZVbUFjM0tsNGNCc2hiR1dOTWRrYzg4MmFwVUJ5X1NnRlhsS3NWeUNORzVNY0xVR2wxVzF4TkktdnZMNkg0OGZqWXByemFF?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-13 10:10 IST,"Cohance Lifesciences shares slip 7% after Jefferies cuts target price, downgrades on weak Q4 - The Economic Times",https://news.google.com/rss/articles/CBMi9wFBVV95cUxQZjhLLTNZSjdhSGdOX0VGZjVKb2w0R3MzdWtIbTNlaGwwaHRZYXZhbElzMjlLdl9obzkxYjktYTNCVXowUnJUUVlsMlFXbDhqbWtvQUh6N0NPZF8tdVF4UURKU2x2ZGhZRXhpTV9scVdMYmloN3FqTDBSOXlfQkdPOGdLN1RiaEx4em02VzVtc193QjBib0pPRzBndGI4RGZxalAxZzk5ZFJOdDZFSzFqMEd0UV9jN25hZ1MtVkE1ckJWclQ1eWZybXJ1bjBxemtQUU5BNkhUenhfWW5XZmVUUnV5eHZVeDN6VHdFeVNQazhsUGhfZEV30gH8AUFVX3lxTFBOSXEza2xER0RZUk9YSF9tN2c3UXlYUGVhdGx6QnNZTnE4bW16dzM0NVdMTzB5cVQ1bEZNV1pfMkxQYTNOSnl2YUxwOUV5WGtzZk9oeThEc2o2Nk1QaUhTN2gtdVh0LXgyVlNiUUlidmI2aWVPcFZUbkFSNGNERmtrdERPaExsaGdzdzU4S05tQ3Z5QUZYcVBMbFRzZDRNa0NuXzVQaS1fVDhJREJySFlFVno5T1NEdmE1Q0FvNWdDZFAzUmFYb1RhZ2tpR29manVMekI2Z0ktTFdUV3N3VlU2NTg0aHdGSER5RlN2eXJENmRvRFYyT0NhdlhVTQ?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-13 09:50 IST,Cohance Lifesciences Ltd Opens 8.21% Lower in Sharp Gap Down as Technicals Point to Further Weakness - Markets Mojo,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQM1IxN1hUS29CSkJxem9CUFYyUndxbExRYjVyYVRMcWdNelRPNmU0TE51eWV1MTR4QmlPX1FKa19RLXZJMDdYekNuRThldFpNMlJDTkZTTnUzN0wzenluWVFBUUhQRjlTaGRDMEI0QjhHNkIwWVd5NFpLdlNjbG9CZU1mZ2RpdVBqdmJSOHY3cGdCZ005a2VZT2tXYnVWOXZiTGxEeF9CQWp5M2NrQkN6ZkYtRmwzUzRZbmdYdFdGak9yNmxtQ09SWVNGNUhRYkxx?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-13 09:06 IST,Cohance Lifesciences consolidated net profit declines 83.77% in the March 2026 quarter - Business Standard,https://news.google.com/rss/articles/CBMigAJBVV95cUxOdDR2NDVpc2ttUkdxRlN0SUUzdlhIUEZ1U2NrTTdRT1kzQWgzRWI4RTFPZnZpX3lHdWtRdFpuR0FUeHI4NWZfWVlSNlQ0cVFlNWl0RW1oekFnQzBBWGFmZDZ6Rk1iTlNwb1ZYUkx2c211Q3Q1RkR3U1ZTMDV1TFRjdDI3OEVwcXBnc1k1cndKc2JlZkJMYVZQUlZfMG81RDBZZ3JkMjl3a2N2bTdmUDBXcEstRGg5akE3Yk9Bb2tMWFBSLVoxNGxBS05KZ2hobV9vMmZnNC1uVWVmbmhYa2I4NW1faE5rZFFaZkppOWg4TkJFRHR2OWU3dnhwSzhNdHhf0gGAAkFVX3lxTE50NHY0NWlza21SR3FGU3RJRTN2WEhQRnVTY2tNN1FPWTNBaDNFYjhFMU9mdmlfeUd1a1F0Wm5HQVR4cjg1Zl9ZWVI2VDRxUWU1aXRFbWh6QWdDMEFYYWZkNnpGTWJOU3BvVlhSTHZzbXVDdDVGRHdTVlMwNXVMVGN0Mjc4RXBxcGdzWTVyd0pzYmVmQkxhVlBSVl8wbzVEMFlncmQyOXdrY3ZtN2ZQMFdwSy1EaDlqQTdiT0Fva0xYUFItWjE0bEFLTkpnaGhtX28yZmc0LW5VZWZuaFhrYjg1bV9oTmtkUVpmSmk5aDhOQkVEdHY5ZTd2eHBLOE10eF8?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-12 23:42 IST,Cohance Lifesciences Share Price: Profit mein laga bada jhatka! Share girne ka reason aur future outlook. - Whalesbook,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQb3dOb3pwUlpjYklmZzlIelQxemVOcW1jbllzZHdtTVl4ME11Z0dNajZZdXBZV0VHbkFfOW9TMERNeVdhYzZJemZOWXBZMHg3ZmJFY2RYNW04NnBCZ3I3WExJa0RsLWhjM2RMQTE3LXpzS05mM1p5VW5FRU1KY0hLanExQUZhdXdqTGc0RC1qVnA0ZGlzbENKczV6bTVkWmM5YzJFMTI0Vkl5aDh3Rlg4eGxkeUwtMWhhRVpxNW40UklVZFRrVGVfRXVUenB6Q1Q5NmRONFVzM0FOcjBBcmNxR3F3?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-12 23:42 IST,"Cohance Lifesciences Profit Falls 84%, Expects FY27 Rebound - Whalesbook",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQUDFXTzJoMEZicmhVdXJRX3FSU29lWFhFazF1UGpMSEd1aXp3aG1BSm9ucVZVTzVZRlJXT0FqVjdZU2xNVHZ6RFpva2FOS1htbjRiOGtiNnR4MWkxM0RkU0xvanczMzA2dGQ2alZaUFNXakxBeE9yNDVKbldHVENaQ1E3Y01qNnhNU2NEdGZLS0lLNWdYQ1d5SFNyZFdMdHdpY1M1OEFkVHNKbVJwbHdrMkdJVlhybFUwd3JNd3ZfUW5pRXM4Z0lFU3oxZjBUaFo0TlNzakw1REpzVTlYU21xQQ?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-12 21:28 IST,"Cohance Lifesciences FY26 Results: Revenue at INR 22,686 Mn, EBITDA Margins at 21% - scanx.trade",https://news.google.com/rss/articles/CBMi6AFBVV95cUxPTDRIY3hvcjN2MWlhOHZaSl8wdlYzUjF6ckZjZVYxRFB1ZGVSOWdLOWlpVENpYXViT2w2QmJrbDJqSTNISGE4U1pzQkdHcnV2Rm92QmM5WHhkeGxPOEVWZG5EaHREa1VLaGtxQW91dEZ0amlackk0VUdvYmpmRXNFOXFjUHdwTGhLaXBsYm1vdlhWSWJUM0o0X05EYWZQaVVoeFhBSVRITHBpUEJIRkl4azV2RUw0NzdJWlh4V1c4LTRTUGw0U0J4VkxZWlBuMXVJenpsSWV2VDBDZXZiQ1RzbkFEemFYeWU4?oc=5&hl=en-US&gl=US&ceid=US:en
COHANCE,2026-05-12 20:54 IST,"COHANCE: Revenue declined 13% in FY 2026, but recovery and growth are expected in H2 FY 2027 - TradingView",https://news.google.com/rss/articles/CBMihwJBVV95cUxNRm9XTGRoX3ZhRXZGNFg0WXZTQmtCNTdseHktb0hDSXA2UGtiVGp6ZlE5X2JHbmdzeDRGMlk1NnJyc0cxbVRvU1Z3ZVF4NldYZnVIem1fX1JZbDNJNG5ROHF5LUI2RmxPQ01BOXZwNWRWZFlvMURYVzNkODViNlNpRlBtRGVILUJPX1V6ZXI5a2ZPUEVMaHRTSmljMFZlSi00cUFvTWVQYjJwTUh4N1NHLTFDcmpMOEJGWm50SFVoYW9oUE94QjBpWWk2NG9sYWlwaEJURE0zcExSV0liaUZqRXJWaXZNczYzTmlJUy1RWllvNXlMVHNIODhxRWJQMWlEeFdHWGxiQQ?oc=5&hl=en-US&gl=US&ceid=US:en
